"","order_id","product_id","add_to_cart_order","reordered","product_id..5","product_name","aisle_id","department_id","department_id..9","department","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
"1",343199,7350,1,1,7350,"Natural Lime Flavor Sparkling Mineral Water",115,7,7,"beverages",17,"prior",26,5,17,5
"2",343199,18534,2,1,18534,"Grade A Extra Large Eggs",86,16,16,"dairy eggs",17,"prior",26,5,17,5
"3",343199,17762,3,1,17762,"Light Oaked Chardonnay",62,5,5,"alcohol",17,"prior",26,5,17,5
"4",343199,48544,4,1,48544,"Compleats Chicken Breast Gravy Mashed Potatoes Microwaveable Meal",4,9,9,"dry goods pasta",17,"prior",26,5,17,5
"5",343199,4591,5,0,4591,"Quick 1 Minute Oatmeal",130,14,14,"breakfast",17,"prior",26,5,17,5
"6",343199,36463,6,1,36463,"Chili Sauce",72,13,13,"pantry",17,"prior",26,5,17,5
"7",348137,7350,1,1,7350,"Natural Lime Flavor Sparkling Mineral Water",115,7,7,"beverages",17,"prior",39,5,16,11
"8",348137,18534,2,1,18534,"Grade A Extra Large Eggs",86,16,16,"dairy eggs",17,"prior",39,5,16,11
"9",348137,7026,3,1,7026,"Sparkling Mineral Water, Natural Lemon Flavor",115,7,7,"beverages",17,"prior",39,5,16,11
"10",348137,17040,4,1,17040,"Classic Roast Instant Coffee Crystals",26,7,7,"beverages",17,"prior",39,5,16,11
"11",348137,19766,5,1,19766,"Ultra Thin Slices Swiss Cheese",21,16,16,"dairy eggs",17,"prior",39,5,16,11
"12",348137,16486,6,0,16486,"Diet Pepsi Slim Cans",77,7,7,"beverages",17,"prior",39,5,16,11
"13",348137,29589,7,1,29589,"Vanilla Chocolate Chip Ice Cream",37,1,1,"frozen",17,"prior",39,5,16,11
"14",348137,25307,8,1,25307,"Tender white meat turkey, pasta, mushrooms and celery in a creamy sauce Turkey Tetrazzini",38,1,1,"frozen",17,"prior",39,5,16,11
"15",348137,21187,9,1,21187,"Classic Macaroni & Beef in Tomato Sauce",38,1,1,"frozen",17,"prior",39,5,16,11
"16",348137,16797,10,1,16797,"Strawberries",24,4,4,"produce",17,"prior",39,5,16,11
"17",348137,14146,11,1,14146,"Sliced Wheat Bread",112,3,3,"bakery",17,"prior",39,5,16,11
"18",348137,9641,12,1,9641,"Action Pacs, Fresh Scent with Dawn",74,17,17,"household",17,"prior",39,5,16,11
"19",348137,7992,13,0,7992,"Natural Choice Honey Deli Ham",96,20,20,"deli",17,"prior",39,5,16,11
"20",415389,7350,1,1,7350,"Natural Lime Flavor Sparkling Mineral Water",115,7,7,"beverages",17,"prior",20,5,13,7
"21",415389,47141,2,1,47141,"Cola",77,7,7,"beverages",17,"prior",20,5,13,7
"22",415389,18534,3,1,18534,"Grade A Extra Large Eggs",86,16,16,"dairy eggs",17,"prior",20,5,13,7
"23",415389,17762,4,1,17762,"Light Oaked Chardonnay",62,5,5,"alcohol",17,"prior",20,5,13,7
"24",415389,5077,5,0,5077,"100% Whole Wheat Bread",112,3,3,"bakery",17,"prior",20,5,13,7
"25",415389,42356,6,1,42356,"Strawberry Preserves",88,13,13,"pantry",17,"prior",20,5,13,7
"26",601444,7350,1,1,7350,"Natural Lime Flavor Sparkling Mineral Water",115,7,7,"beverages",17,"prior",17,5,21,4
"27",601444,18534,2,1,18534,"Grade A Extra Large Eggs",86,16,16,"dairy eggs",17,"prior",17,5,21,4
"28",601444,17762,3,1,17762,"Light Oaked Chardonnay",62,5,5,"alcohol",17,"prior",17,5,21,4
"29",601444,33560,4,0,33560,"Italian Bread Crumbs",5,13,13,"pantry",17,"prior",17,5,21,4
"30",601444,29791,5,0,29791,"Original Chicken Seasoned Coating Mix",5,13,13,"pantry",17,"prior",17,5,21,4
"31",603376,47141,1,1,47141,"Cola",77,7,7,"beverages",17,"prior",22,6,16,4
"32",603376,18534,2,1,18534,"Grade A Extra Large Eggs",86,16,16,"dairy eggs",17,"prior",22,6,16,4
"33",603376,21553,3,1,21553,"Lowfat 2% Milkfat Cottage Cheese",108,16,16,"dairy eggs",17,"prior",22,6,16,4
"34",603376,17762,4,1,17762,"Light Oaked Chardonnay",62,5,5,"alcohol",17,"prior",22,6,16,4
"35",603376,16797,5,1,16797,"Strawberries",24,4,4,"produce",17,"prior",22,6,16,4
"36",603376,19468,6,0,19468,"Classic Yellow Mustard",72,13,13,"pantry",17,"prior",22,6,16,4
"37",603376,40592,7,0,40592,"Ultra Soft Facial 3-Ply White Facial Tissues",54,17,17,"household",17,"prior",22,6,16,4
